Time(Iteration),AsyncCoLinUCB,W_W0,LinUCB
0,1.23306712451,1.43615083568,2.68095944848
10,3.73496200708,9.26304866813,8.89360028036
20,4.05456570941,12.5029966736,10.4980953376
30,4.58104535217,13.7177655731,11.7255121886
40,4.92494183191,14.9830000682,12.4262083476
50,5.00700327254,15.8593309949,12.7684418697
60,5.17509073536,16.1207507598,13.2183853947
70,5.25148508167,17.5688163062,13.6784019152
80,5.28979306758,18.6006194756,13.9854587191
90,5.37468655573,19.1035759605,14.2028085462
100,5.55687611373,19.4836717611,14.4690646609
110,5.62281140554,20.3310289694,14.6511503137
120,5.7360004286,21.0454115153,14.9190299525
130,5.92713277034,21.6202463415,15.1040552409
140,6.02401878575,22.2410764379,15.3200781756
150,6.12418002493,22.6805969745,15.3888210833
160,6.22425798027,22.8679304124,15.5128154337
170,6.23125502576,23.0330331993,15.5992878879
180,6.34354170786,23.3039882847,15.7647162571
190,6.38184669374,23.6929591236,15.9447031661
200,6.40690012588,23.9357506951,16.011111488
210,6.43280256074,24.1655669826,16.1570252573
220,6.48320844076,24.5850279789,16.3223077953
230,6.60178634887,25.0032270005,16.5057140801
240,6.64561033264,25.131131705,16.6354940665
250,6.70730962743,25.2303125207,16.8060920895
260,6.73261789522,25.5661491705,16.9413506155
270,6.78381119474,25.7760570227,17.0321436847
280,6.82243756102,25.914608191,17.1003584201
290,6.85570379757,26.0535395175,17.1920319321
