Time(Iteration),WCoLinUCBCoTheta,AsyncCoLinUCBCoTheta,W_W0CoTheta,WknowThetaCoTheta,LinUCBCoTheta,WCoLinUCBTheta,AsyncCoLinUCBTheta,WknowThetaTheta,W_W0Theta,WCoLinUCBW,WknowThetaW,W_W0W
0,0.761656703486,0.679165478331,0.704917377101,0.337628272915,0.67437646195,0.977807730278,0.828168471128,0.0,0.892357981484,0.977807730278,0.0,0.892357981484
10,0.441287650883,0.207908134588,0.219799633277,0.151694021932,0.21345498628,0.866184727291,0.454950549187,0.0,0.678415112046,0.866184727291,0.0,0.678415112046
20,0.431169528099,0.108265140392,0.182590952285,0.134351007971,0.143304232661,0.848860665111,0.330882534436,0.0,0.665307476856,0.848860665111,0.0,0.665307476856
30,0.427544601215,0.0711422053285,0.173431801035,0.123078996142,0.13651110382,0.841377594577,0.252332194655,0.0,0.634607650648,0.841377594577,0.0,0.634607650648
40,0.396366492778,0.0586141504508,0.160896882037,0.115252881136,0.129996617089,0.833314949214,0.22240091219,0.0,0.63472766761,0.833314949214,0.0,0.63472766761
50,0.378114963396,0.0725732896567,0.128885422647,0.106499883632,0.121638356201,0.864431072032,0.236558515927,0.0,0.652684733724,0.864431072032,0.0,0.652684733724
60,0.377533048215,0.0692339965734,0.115387401113,0.105113531603,0.116530633138,0.855018896271,0.217135504821,0.0,0.651852569731,0.855018896271,0.0,0.651852569731
70,0.330683424779,0.0624041499982,0.113498249927,0.102571648546,0.113636238749,0.863103257117,0.205500598361,0.0,0.64006462144,0.863103257117,0.0,0.64006462144
80,0.309693343532,0.0576370589843,0.106438428288,0.0911593969331,0.0985488159944,0.877967980068,0.184886808423,0.0,0.647110539316,0.877967980068,0.0,0.647110539316
90,0.311624640257,0.0582210353967,0.112616620808,0.0864647312218,0.0926048969114,0.885080461573,0.187449189385,0.0,0.653395584386,0.885080461573,0.0,0.653395584386
100,0.295077272796,0.0591628386095,0.117643808594,0.0907204955931,0.0926757685582,0.880329916442,0.188968783954,0.0,0.649534386867,0.880329916442,0.0,0.649534386867
110,0.289995114896,0.0650359927343,0.0942216500474,0.0888914782291,0.0898159012013,0.872000965588,0.195630744055,0.0,0.644555438704,0.872000965588,0.0,0.644555438704
120,0.278446414469,0.0641324625078,0.0972934543256,0.0878003267167,0.0879317849616,0.902342569413,0.202303452523,0.0,0.646484601005,0.902342569413,0.0,0.646484601005
130,0.26962108832,0.0597310117563,0.0885001619319,0.0832231455531,0.0823555863924,0.887117604115,0.195301786309,0.0,0.647356640112,0.887117604115,0.0,0.647356640112
140,0.268895986173,0.0496840702437,0.0938544580527,0.0794879520287,0.0803860381478,0.893562525409,0.172866263507,0.0,0.655056715093,0.893562525409,0.0,0.655056715093
150,0.25811593863,0.0499565558879,0.0973012814133,0.0789150207529,0.0803386651242,0.88514244752,0.173234150437,0.0,0.66817146028,0.88514244752,0.0,0.66817146028
160,0.228413599894,0.0469509867381,0.100642485524,0.0786804792179,0.0777389587694,0.897396141543,0.169063371385,0.0,0.666587223304,0.897396141543,0.0,0.666587223304
170,0.216696388131,0.0441237630134,0.108510046773,0.0782044330727,0.0809529629585,0.900975157192,0.161319099582,0.0,0.665626212917,0.900975157192,0.0,0.665626212917
180,0.173224706888,0.0437155656976,0.0972060995968,0.0804058017098,0.0841536346051,0.914661805205,0.16564045476,0.0,0.660228238355,0.914661805205,0.0,0.660228238355
190,0.17628089193,0.0425238641533,0.0765332004209,0.0724179844073,0.0754421632879,0.891481722611,0.172040160635,0.0,0.646042886871,0.891481722611,0.0,0.646042886871
200,0.158536028292,0.0400797192801,0.0713726534658,0.0663368197423,0.0687465244308,0.913836723778,0.165313294181,0.0,0.644564104141,0.913836723778,0.0,0.644564104141
210,0.138048031977,0.0392089845597,0.0663834458268,0.0578627893632,0.0607339741461,0.914664749157,0.158158736301,0.0,0.642809461136,0.914664749157,0.0,0.642809461136
220,0.123215673906,0.0396654663871,0.0746941212884,0.0558181176626,0.0611074494508,0.922660758141,0.168449884654,0.0,0.647463665241,0.922660758141,0.0,0.647463665241
230,0.133430781281,0.0351226752206,0.0727867770039,0.0563780149485,0.0592269490334,0.912860927295,0.160346758165,0.0,0.643143283398,0.912860927295,0.0,0.643143283398
240,0.135807986364,0.0367078561105,0.0731863650581,0.0582981324526,0.059824213069,0.911235120968,0.153354632431,0.0,0.642965162969,0.911235120968,0.0,0.642965162969
250,0.118397026578,0.0359909725813,0.0663469083784,0.0591829274732,0.0590821927247,0.910286168297,0.158480923528,0.0,0.643242823909,0.910286168297,0.0,0.643242823909
260,0.113247844436,0.0315725711916,0.0677193256477,0.0630169710357,0.0590955149515,0.904629812338,0.156606523786,0.0,0.64013976021,0.904629812338,0.0,0.64013976021
270,0.109429059376,0.0276790445584,0.0612533904585,0.0596970829054,0.0557959618678,0.907337210675,0.14904045959,0.0,0.640670486103,0.907337210675,0.0,0.640670486103
280,0.115035118015,0.0286207714735,0.0646335465608,0.0626445543116,0.0619033573154,0.906259076226,0.146973939569,0.0,0.641657530499,0.906259076226,0.0,0.641657530499
290,0.106700931719,0.0304577315836,0.0599721034904,0.0595946706773,0.058812238129,0.899313513165,0.155539752028,0.0,0.63623773438,0.899313513165,0.0,0.63623773438
