Time(Iteration),AsyncCoLinUCB,WknowTheta,LinUCB
0,1.1231118651,0.397777548605,1.49327011836
1,2.09960441804,1.02946116864,2.67312273216
2,3.17230537443,1.45638458971,4.03137852342
3,3.96221107972,2.04812087278,5.26304904029
4,4.62993980372,2.33049415311,6.23270037967
5,4.99126515728,2.51072413901,6.95279000398
6,5.2059732918,2.83807361831,7.49344144636
7,5.52530626706,3.28082291716,8.39790846346
8,5.83492065264,3.50579476026,8.91691770027
9,6.13698693937,4.02458047299,9.51810184169
10,6.36207620252,4.07933378252,10.1314637727
11,6.4691413608,4.37359205105,10.9674563865
12,6.58738071005,4.72525400656,11.8942805477
13,6.66622177015,4.77516464875,12.5539211698
14,6.7427926655,5.13543699144,12.6903032329
15,6.76487453235,5.40411864386,13.1625001452
16,6.86265143671,5.48789944403,13.5776623789
17,6.97849660865,5.62755900317,14.0302075863
18,6.98793584341,5.9261954691,14.3586431464
19,7.09380382743,6.18398640301,14.5951996594
20,7.32019659439,6.36572186983,14.7084412989
21,7.4275356235,6.60712879405,15.2145884916
22,7.527930118,6.79003465918,15.4643563027
23,7.62658004514,7.01278216229,15.8676932249
24,7.68648699602,7.04233012168,16.1256755149
25,7.73469483998,7.09492161322,16.6384297922
26,7.80820525837,7.29953378255,17.0380938747
27,7.84078281908,7.53980969876,17.1585346338
28,7.90617350206,7.78443289651,17.621585682
29,8.00954613922,7.86239841505,17.9039169913
