Time(Iteration),AsyncCoLinUCBCoTheta,WknowThetaCoTheta,LinUCBCoTheta,AsyncCoLinUCBTheta,WknowThetaTheta,WknowThetaW
0,0.697478714494,0.372653114133,0.67157707,0.900883157968,0.0,0.0
10,0.226230540059,0.197629321496,0.244702343844,0.461452649327,0.0,0.0
20,0.131093974406,0.151066975485,0.185945310634,0.304606949832,0.0,0.0
30,0.0898684798573,0.132155615344,0.178213450411,0.255467014265,0.0,0.0
40,0.0880187187517,0.117440645212,0.166654644948,0.232856952192,0.0,0.0
50,0.0591274277413,0.114400591306,0.162669670328,0.174373652287,0.0,0.0
60,0.0521106703594,0.112640241241,0.150808725804,0.15120304909,0.0,0.0
70,0.0522508796763,0.113010115228,0.132426087219,0.146416597916,0.0,0.0
80,0.0572650346129,0.101673559567,0.123116222579,0.167048980057,0.0,0.0
90,0.0520427748302,0.0897165644303,0.123377569756,0.176574060061,0.0,0.0
100,0.0477115741206,0.0776535599673,0.112612109723,0.164447318513,0.0,0.0
110,0.0443777352868,0.0774464757305,0.110477750604,0.161652176566,0.0,0.0
120,0.0490605138081,0.077128560684,0.103892758719,0.164595604336,0.0,0.0
130,0.0495943161376,0.0785637324258,0.0993950675084,0.155353454831,0.0,0.0
140,0.0486136393977,0.076760800324,0.100762722824,0.145279733486,0.0,0.0
150,0.0454137453689,0.0746890597742,0.0972827009206,0.142370203293,0.0,0.0
160,0.04099164243,0.0695669384421,0.0909383580088,0.124431554314,0.0,0.0
170,0.0402608517425,0.0693195358524,0.0906805673883,0.126627659288,0.0,0.0
180,0.0320754884714,0.0698295339432,0.0882391654049,0.121624995787,0.0,0.0
190,0.0330381494366,0.061046068507,0.0762761123018,0.128543742836,0.0,0.0
200,0.0338835794863,0.0591308404754,0.0723070047545,0.12307907102,0.0,0.0
210,0.0318809004446,0.0589402700276,0.0707210588505,0.122091991128,0.0,0.0
220,0.0301074325587,0.0527127471335,0.0641654643327,0.126788068374,0.0,0.0
230,0.0276366411455,0.0447048157574,0.0595195429465,0.129345058413,0.0,0.0
240,0.0254057909473,0.043367244143,0.0599510278766,0.125270372573,0.0,0.0
250,0.0245683940303,0.0450731292292,0.0572479662711,0.133756932501,0.0,0.0
260,0.025417736457,0.043883353634,0.0572371985802,0.140981101157,0.0,0.0
270,0.028581834877,0.0450564312627,0.0574501180675,0.137960259042,0.0,0.0
280,0.0288700233748,0.0461808537356,0.056860613088,0.13665411116,0.0,0.0
290,0.0286911859262,0.0470779250473,0.0552302382998,0.135934003969,0.0,0.0
