Time(Iteration),AsyncCoLinUCB,GOBLin,LinUCB
0,2.81041158723,0.701944146738,2.29037753554
10,6.28309141353,3.96476845328,12.8509843303
20,6.66296377548,4.34436111479,15.4906801239
30,6.74134397806,4.39669830634,15.6659958858
40,6.84009032187,4.40727756743,15.6663510687
50,6.921900363,4.40987735265,15.6726679287
60,7.01027454464,4.42097346205,15.6739022474
70,7.03206632671,4.42710230346,15.6800310888
80,7.04232600322,4.42710230346,15.6800310888
90,7.07727931066,4.42710230346,15.6800310888
100,7.09838465337,4.42933604467,15.68226483
110,7.1166862041,4.42933604467,15.6903649593
120,7.16463095949,4.42933604467,15.6903649593
130,7.1782301436,4.42933604467,15.6903649593
140,7.1922008312,4.44017019613,15.6903649593
150,7.20146896745,4.44017019613,15.6903649593
160,7.21549238914,4.44071510855,15.6958238366
170,7.22716943092,4.44105411327,15.6958238366
180,7.22735037314,4.44105411327,15.6958238366
190,7.23759208221,4.44383966445,15.6986093877
200,7.24249835023,4.44485847936,15.6986995694
210,7.25568281243,4.44486082591,15.6987019159
220,7.26226467843,4.44766539095,15.6988201811
230,7.26642419847,4.44782463904,15.6989794292
240,7.27287164144,4.44841497692,15.699569767
250,7.28859472541,4.44996792155,15.7011227117
260,7.30056688686,4.44996792155,15.7011227117
270,7.31768098304,4.45108383882,15.7011565219
280,7.3221375102,4.45248172085,15.705613049
290,7.3221375102,4.45248172085,15.705613049
300,7.32258708004,4.45293129069,15.7060626189
310,7.32566277879,4.45372363311,15.7068549613
320,7.34140375508,4.45747265338,15.7077212379
330,7.35550622627,4.46160783563,15.7118564202
340,7.35550622627,4.46160783563,15.7118564202
350,7.35550622627,4.46160783563,15.7118564202
360,7.35550622627,4.46160783563,15.7118564202
370,7.35550622627,4.46160783563,15.7118564202
380,7.3584214544,4.46214951005,15.7123980946
390,7.35847473272,4.46220278836,15.7124513729
400,7.35872318781,4.46220278836,15.7124513729
410,7.35872318781,4.46340426705,15.7136528516
420,7.36053916091,4.46409690605,15.7143454906
430,7.36751184171,4.46409690605,15.7143454906
440,7.37036944739,4.46409690605,15.7143454906
450,7.37210070642,4.46952396957,15.7197725541
460,7.37255267743,4.47122790754,15.7214764921
470,7.37777888023,4.47122790754,15.7214764921
480,7.37777888023,4.47122790754,15.7214764921
490,7.37777888023,4.47122790754,15.7214764921
