Time(Iteration),WCoLinUCB,AsyncCoLinUCB,W_W0,LinUCB
0,3.04209879411,1.91530743872,1.6356147148,1.99922336663
10,12.4357555849,6.7151656655,7.01595538976,10.6558266076
20,16.3191996954,7.36770326092,8.81930227777,11.7365271487
30,19.026214905,7.56515677406,10.3577011622,12.2432520334
40,20.900213713,7.76526054782,11.2207325379,12.8049443799
50,23.387422262,7.84994070679,11.9493390721,13.2070407631
60,25.9733569665,7.95018024087,12.6028968035,13.3872503767
70,27.3886359863,8.0121927743,13.1718024948,13.845740953
80,28.2090481473,8.13615602684,13.6998289388,14.0813258341
90,28.6997305041,8.19805761708,14.0156778732,14.1984546593
100,29.7781800583,8.24982487943,14.7799921074,14.5566120597
110,31.6026108686,8.2927695578,15.2827758193,14.8543254734
120,32.3481336354,8.31971050291,15.6286199612,15.1720340556
130,33.4921424875,8.35894562008,16.3634960326,15.3513830573
140,34.6683100694,8.43751214365,16.7615325417,15.6058412488
150,35.8954588088,8.50258212409,17.2490904149,15.7344234813
160,36.4660670094,8.56620668682,17.5491235627,15.8418756561
170,37.188119384,8.64394502276,18.1675746687,16.0291771391
180,38.9866978109,8.67992322022,18.3030501904,16.1600768104
190,39.5812288486,8.72340193132,18.4502980612,16.3530722097
200,40.0872348228,8.75616344114,18.6887258586,16.387600014
210,40.5950145503,8.76301972933,18.898224132,16.4480764304
220,41.117196094,8.79771479214,19.0831814391,16.6160702419
230,41.4985978351,8.82604821331,19.2257788099,16.7879177662
240,41.8204535123,8.89031289997,19.3953427375,16.946430732
250,42.1149111394,8.92965075864,19.518028783,17.0349373429
260,42.4214208096,9.02627986796,19.6933774717,17.1393768483
270,42.5868050938,9.03724980988,19.7411930647,17.2152789398
280,43.0157115922,9.05336122605,19.8992069625,17.3491163072
290,43.1958408375,9.05596438717,19.9752838283,17.3578420811
300,43.3720624599,9.08009471556,20.0616062739,17.3751550944
310,43.5855258318,9.09483807564,20.2284717289,17.5460338981
320,43.7350609872,9.16753771601,20.3585621335,17.6542891862
330,43.8936997355,9.18732073981,20.3819857669,17.7770125873
340,44.0983345108,9.24287141197,20.4643224228,17.936716915
350,44.2401382851,9.26692428529,20.5828210476,18.0364886163
360,44.4721259296,9.32568789414,20.6681071971,18.0819524584
370,44.5853917475,9.40155161369,20.7738157893,18.2019349853
380,44.6721150818,9.41467530061,20.8692702839,18.2680172297
390,45.083378962,9.41659889714,20.9859909652,18.2699408262
400,45.2349331799,9.46313222063,21.0644600402,18.3861493086
410,45.581831327,9.4816415566,21.1984913181,18.4784468561
420,45.7758326384,9.49920149232,21.3817568158,18.547422187
430,45.8300426305,9.50513033564,21.4422429275,18.5983233729
440,46.1035703884,9.51067285841,21.4477854503,18.6885230938
450,46.222638458,9.55605042385,21.5016339288,18.7339821625
460,46.3970335149,9.56992634626,21.5864828068,18.8037597083
470,46.5745424532,9.58026428016,21.6425646269,18.9314418547
480,46.7185563524,9.61171401648,21.7539393182,19.0360578193
490,46.8564856277,9.61331726733,21.8431832085,19.1555733002
