Time(Iteration),WCoLinUCB,W_W0,LinUCB
0,2.30350296024,2.69980200267,2.11293403402
10,11.9756385896,15.5680021093,9.5370487836
20,16.6695485459,17.6678363232,10.7261399699
30,21.931095309,18.5651721192,11.3172537564
40,26.412175038,19.2263060177,11.7502321025
50,29.9689587231,19.5455049303,12.0664601421
60,32.7857307589,20.2275159871,12.3892531677
70,33.5768036849,20.5209362581,12.6515597615
80,34.4004461654,21.6473402068,13.1961230573
90,35.0914872994,22.0451525189,13.5418579699
100,35.5416191433,22.4214887779,13.8333620459
110,36.1476004562,22.840388186,14.1268570867
120,37.2512710523,23.2660475351,14.2883014827
130,39.9749716352,24.1410850847,14.5409732386
140,43.0454982385,25.2422384114,14.7269101403
150,44.5174276778,27.1231794114,14.9402950995
160,47.544228165,28.3812334859,15.0738553356
170,48.2608388763,28.9643523968,15.2518109508
180,48.6228086686,29.5311064597,15.4061122158
190,49.3133493153,30.2349917481,15.5044393847
200,49.7069673764,30.7687238561,15.5723588648
210,50.2640745597,31.2851254529,15.6936723158
220,50.6819644458,31.6765669182,15.8647483659
230,50.8912535071,31.9285873186,15.9498085807
240,51.191166945,32.1803929979,16.1018068561
250,51.481307311,32.4478699456,16.2658525064
260,51.6210815871,32.6815504786,16.3637860838
270,51.9027016908,32.892091602,16.427165315
280,52.0823259884,32.9937500592,16.4890182026
290,52.5855814809,33.2076250643,16.7026865209
300,52.7829019954,33.3776186286,16.7512179347
310,52.8906155266,33.5111434254,16.7947528731
320,53.1265800849,33.7957964657,16.9086769207
330,53.4995477026,34.0317838879,16.9921080559
340,53.8860738861,34.189905474,17.0381732288
350,54.1775759549,34.4554540537,17.1385419635
360,54.5801174837,34.7179569471,17.2780146136
370,54.8217123273,34.8652307637,17.3391846119
380,55.0385989552,35.0201349706,17.3766172494
390,55.3114597071,35.2181265853,17.4746223864
400,55.6494713821,35.303476752,17.5185797082
410,55.7555705451,35.3747666016,17.5690964386
420,56.0675594772,35.4744693046,17.6669683065
430,56.2249093479,35.5452077279,17.7782516966
440,56.3644898636,35.6717258266,17.8963831156
450,56.5188264201,35.776668614,17.9210848621
460,56.7544885386,35.8492082668,17.9915195347
470,56.9161486255,35.9690543248,18.0773803921
480,56.9975561795,36.0594272678,18.1022778892
490,57.1119785949,36.0647890472,18.1146469862
