Time(Iteration),AsyncCoLinUCBCoTheta,LinUCBCoTheta,AsyncCoLinUCBTheta,
0,0.678521185757,0.694583198374,0.866711273471,
10,0.154669930412,0.188499979414,0.477465216936,
20,0.126044301289,0.175350087898,0.419372807997,
30,0.10529065827,0.151983412619,0.350557109021,
40,0.0948287147617,0.13488160624,0.305813489271,
50,0.0727646239999,0.133919739367,0.278567755445,
60,0.0747302477513,0.123686437567,0.245925335225,
70,0.0743817232407,0.118629094601,0.236879202143,
80,0.0706868005729,0.103942801588,0.233897330455,
90,0.0649114559938,0.0900137060778,0.224937786265,
100,0.066133920436,0.0844816434877,0.224057569535,
110,0.0598072852369,0.076543510098,0.216970073218,
120,0.05654369277,0.0768313838768,0.208859521731,
130,0.0617270929612,0.0794067985367,0.222733643717,
140,0.0584973191209,0.0730569320992,0.230027245844,
150,0.0554036562868,0.069860545956,0.227415591262,
160,0.0472696855951,0.0671909623111,0.207499308693,
170,0.0432811069478,0.0590200978802,0.200309403743,
180,0.0450694984325,0.0584769622765,0.199137555044,
190,0.0521692858578,0.0577017644803,0.206755146751,
200,0.0519968872845,0.0595924127045,0.202409118977,
210,0.0557311097634,0.0623129663962,0.210390923,
220,0.0523037045997,0.0640367692326,0.205091959064,
230,0.0510073552907,0.0627177317368,0.197620562522,
240,0.0480691605981,0.0583069154567,0.189204959884,
250,0.0490018937451,0.0543848548294,0.189197979179,
260,0.0440808965128,0.0515257667593,0.183112765425,
270,0.0465575410451,0.0505463299004,0.192973429418,
280,0.0467248213891,0.046565555206,0.18841584374,
290,0.0465370720186,0.0439762584435,0.194446758259,
Time(Iteration),AsyncCoLinUCBCoTheta,W_W0CoTheta,LinUCBCoTheta,AsyncCoLinUCBTheta,W_W0Theta,W_W0W
0,0.535894595731,0.713197837111,0.692595732857,0.807293253822,0.898389040359,0.898389040359
10,0.151273109982,0.27275896632,0.232636870238,0.406291634049,0.824222901379,0.824222901379
20,0.119016612341,0.198180964688,0.176360306118,0.279583706551,0.758944977498,0.758944977498
30,0.100279425958,0.169175555312,0.138905221453,0.235117374892,0.740462984205,0.740462984205
40,0.0778508808725,0.114562782605,0.127183820214,0.206533594764,0.774010181459,0.774010181459
50,0.0822372687809,0.110676627189,0.130454778837,0.212806258358,0.744658376778,0.744658376778
60,0.0745701500638,0.124408060254,0.128980203782,0.182296203439,0.761899324648,0.761899324648
70,0.0715269830765,0.136670551693,0.126694567169,0.186419735112,0.767095040731,0.767095040731
80,0.063595079622,0.136672051869,0.121434272909,0.181229913096,0.780681840547,0.780681840547
90,0.0658798034396,0.108760276837,0.107918994432,0.192086521988,0.778598836974,0.778598836974
100,0.0486494359908,0.0967874592491,0.0976296199422,0.198213476254,0.778015960404,0.778015960404
110,0.0428444637195,0.0990594817372,0.103599726853,0.199001551424,0.769703682803,0.769703682803
120,0.0461737488859,0.0989743939956,0.111224157304,0.204594691606,0.766369702989,0.766369702989
130,0.0461772665103,0.105701694992,0.109957518341,0.22107222363,0.765438762531,0.765438762531
140,0.0467884911936,0.0999069659664,0.102398230836,0.204588262774,0.766183811959,0.766183811959
150,0.0477546047462,0.101463459552,0.0994233068558,0.198297376959,0.768074094987,0.768074094987
160,0.0477428162458,0.0976624523633,0.0979751812826,0.198325764626,0.767103061896,0.767103061896
170,0.0490227986345,0.0956680819868,0.0953150010722,0.195996626822,0.767995972798,0.767995972798
180,0.0509218287373,0.089351299921,0.0936337108869,0.211135643678,0.756076492998,0.756076492998
190,0.0507559859509,0.0895123449655,0.0931024286351,0.21478492532,0.747279127765,0.747279127765
200,0.0475388996833,0.0910304399862,0.0895259466847,0.214157756931,0.751017801537,0.751017801537
210,0.0470658061602,0.0991554611571,0.0871520183493,0.2038979125,0.753103980793,0.753103980793
220,0.0459963019728,0.093267673573,0.0859499527469,0.200624400473,0.75120406974,0.75120406974
230,0.0456349362866,0.0796341066096,0.0823581943242,0.201840319369,0.750839203379,0.750839203379
240,0.0440294029728,0.0796409064687,0.077405496519,0.186870747455,0.755752533129,0.755752533129
250,0.044894246362,0.0835259536965,0.0806882877287,0.198429138768,0.752894570303,0.752894570303
260,0.0439715475617,0.07968315769,0.0794806968294,0.194000587869,0.754573725171,0.754573725171
270,0.0450851176118,0.0786985697067,0.0799497732474,0.192831580948,0.754534762885,0.754534762885
280,0.0424288194539,0.0795431868266,0.0773862033447,0.188520516947,0.754009449098,0.754009449098
290,0.0439679170801,0.0776098993837,0.0744934070702,0.184508403008,0.754451585362,0.754451585362
