Time(Iteration),AsyncCoLinUCB,GOBLin,LinUCB
0,2.36189789764,3.18748880374,2.41595727797
10,4.6250325378,8.713865152,9.03422770383
20,5.54964076083,9.94670369876,9.98325809417
30,5.78206247328,10.7008402735,10.8153131955
40,6.24875212543,11.5586061008,12.4089365363
50,6.50972546904,12.2181727424,12.9811035683
60,6.6768984266,12.4336617403,13.3438230632
70,6.99859213089,12.8217639992,13.8234878723
80,7.1570854106,13.3324656452,14.5013315355
90,7.25080889614,13.5509292652,14.7529181416
100,7.34419093912,13.8978318444,15.1711713194
110,7.49938701609,14.2086018228,15.4534056363
120,7.64162758718,14.5355972535,15.7539594391
130,7.81936536842,14.8412972539,15.9285188426
140,7.9464329741,15.0187677351,16.1737082528
150,7.97105894032,15.2287116275,16.4443523987
160,7.97983583846,15.4071776328,16.6263869527
170,8.0447264835,15.5376836285,16.7302952901
180,8.15494916453,15.6444022196,16.9125301516
190,8.18989787295,15.7223990236,17.0641665834
200,8.27362224373,15.7757381147,17.2478459583
210,8.32644497498,15.9518154096,17.4358829651
220,8.35527219953,16.040261357,17.8209893715
230,8.36220472518,16.1600519727,18.0229615215
240,8.41373155835,16.2162262512,18.2913791116
250,8.47984352487,16.3348905835,18.4630248152
260,8.5272633029,16.4794400823,18.5696846352
270,8.61334365241,16.5196438178,18.7234040014
280,8.65068530187,16.6325050946,18.9248731155
290,8.70309533125,16.6658807806,19.0387569768
