Time(Iteration),WCoLinUCBCoTheta,AsyncCoLinUCBCoTheta,W_W0CoTheta,LinUCBCoTheta,WCoLinUCBTheta,AsyncCoLinUCBTheta,W_W0Theta,WCoLinUCBW,W_W0W
0,0.779304529249,0.681838440693,0.39471920876,0.680780092461,0.983911808515,0.872207228847,0.942074484384,0.983911808515,0.942074484384
10,0.500533917863,0.235478253264,0.14426315822,0.197615058488,0.905276961197,0.49710877326,0.908113471799,0.905276961197,0.908113471799
20,0.297687765607,0.143819299999,0.116958059366,0.184528143835,0.937286866958,0.344589546749,0.894407720093,0.937286866958,0.894407720093
30,0.299149519117,0.0994417156227,0.0949025358426,0.170141729295,1.01769002313,0.258234520581,0.888606219248,1.01769002313,0.888606219248
40,0.292206061646,0.0824814401019,0.0759440286817,0.160316544662,1.06815779809,0.236837965567,0.893249712682,1.06815779809,0.893249712682
50,0.292536097349,0.0813692485479,0.0869410475091,0.158076943105,1.0738696219,0.222272618745,0.89466909987,1.0738696219,0.89466909987
60,0.283825115095,0.0702364423264,0.091675503323,0.148461599257,1.08824634641,0.201993313002,0.891599119802,1.08824634641,0.891599119802
70,0.260050253212,0.0698219115632,0.0842882641942,0.143356745764,1.07595037493,0.198471962416,0.891004901686,1.07595037493,0.891004901686
80,0.250104404022,0.0729257945528,0.0911496770712,0.125860347356,1.07262304848,0.196344113542,0.891133341463,1.07262304848,0.891133341463
90,0.261859522909,0.0740072574066,0.103054112894,0.120711754199,1.13567775951,0.196260127896,0.897567576438,1.13567775951,0.897567576438
100,0.230080110472,0.0658535690192,0.0813837779654,0.116946293373,1.15827215973,0.179257856922,0.89862351466,1.15827215973,0.89862351466
110,0.218569689955,0.0614467398153,0.065043685386,0.107954357087,1.13740877758,0.174514954266,0.900006849778,1.13740877758,0.900006849778
120,0.232199079851,0.0536702839073,0.0696501976664,0.104724750702,1.15711307076,0.156184117674,0.898120331233,1.15711307076,0.898120331233
130,0.242446992791,0.0566108080668,0.0668330932242,0.105482673182,1.19365494372,0.163368321143,0.89799160037,1.19365494372,0.89799160037
140,0.231168330685,0.0508385577607,0.0840230580619,0.0947821068511,1.1934830243,0.152531407948,0.905219524457,1.1934830243,0.905219524457
150,0.20223926631,0.0439942320403,0.0916886581106,0.0918652501201,1.20741440091,0.14174160576,0.905794500652,1.20741440091,0.905794500652
160,0.231975178036,0.0434817160321,0.0715285620633,0.089354321834,1.23160035212,0.148136268065,0.901742140006,1.23160035212,0.901742140006
170,0.199622807279,0.0457127021022,0.0780910058507,0.0875486631548,1.2451164135,0.158284134096,0.902444205851,1.2451164135,0.902444205851
180,0.190186302854,0.040880559259,0.0698677625148,0.0843536566615,1.25169295094,0.155721866905,0.901158371175,1.25169295094,0.901158371175
190,0.179891291293,0.0359341498948,0.0665093087099,0.0776437555976,1.27178284437,0.142150240365,0.900454060635,1.27178284437,0.900454060635
200,0.167482916128,0.0366444252769,0.0700051211528,0.0789176280906,1.27639604717,0.138789884546,0.901312366175,1.27639604717,0.901312366175
210,0.161852873105,0.0396914492435,0.0709177192546,0.0816680364877,1.28229889022,0.143129821716,0.901519513831,1.28229889022,0.901519513831
220,0.147911346096,0.0394826708549,0.0629933148572,0.0827306798867,1.29274964217,0.144973927729,0.898337045663,1.29274964217,0.898337045663
230,0.149352925971,0.0399221804713,0.0577577349889,0.0797817874104,1.28584977586,0.144772406996,0.897663344742,1.28584977586,0.897663344742
240,0.161256864209,0.0370694608163,0.0584407932753,0.0762929337648,1.29988569389,0.141109578742,0.896579961857,1.29988569389,0.896579961857
250,0.165739992527,0.0317158911101,0.0505712080629,0.076039924237,1.29265496224,0.124105713538,0.895800479844,1.29265496224,0.895800479844
260,0.161399113969,0.0319447516423,0.0550924490472,0.074530997996,1.28950603448,0.121281141485,0.897197112655,1.28950603448,0.897197112655
270,0.154877177242,0.0298531306492,0.0561871348895,0.0773514863129,1.29125676298,0.122479990793,0.896337568104,1.29125676298,0.896337568104
280,0.139171025804,0.0322496379923,0.0487342504916,0.0723979584631,1.29684835385,0.130183447736,0.896291756942,1.29684835385,0.896291756942
290,0.128566279798,0.0322674910553,0.0426173952529,0.0712015655552,1.28723458415,0.127643699005,0.896024089425,1.28723458415,0.896024089425
300,0.129208665121,0.0315539094503,0.0454690272487,0.069332115088,1.28163739287,0.130804104889,0.89596248354,1.28163739287,0.89596248354
